date | value
2011-01-03 | 3
2011-01-03 | 2
2011-01-03 | 1
2011-01-03 | 1.2
2011-01-09 | 1
2012-01-11 | 1
2012-01-11 | 10
2012-01-11 | 0
2012-01-11 | 0.5
2012-01-11 | 999.99
2012-01-11 | 1000
2012-01-11 | 1000.0
2012-01-11 | 1000.01
2012-01-11 | -1
2012-01-11 | -0.5
2012-01-11 | +1
2012-01-11 | +5.5
2012-01-11 | abc
2012-01-11 | 1abc
2012-01-11 | abc1
2012-01-11 | 1.2.3
2012-01-11 | 
2012-01-11
2012-01-11 1
2012-01-11 - 1
2001-42-42 | 1
2001-00-10 | 1
2001-01-00 | 1
2001-01-32 | 1
2001-02-29 | 1
2000-02-29 | 1
1900-02-29 | 1
2004-02-29 | 1
2001-1-01 | 1
2001-01-1 | 1
20010101 | 1
2001/01/01 | 1
abcd-ef-gh | 1
0000-01-01 | 1
9999-12-31 | 1
2011-01-02 | 1
2011-01-04 | 1
2011-01-08 | 1
2011-01-10 | 1
2012-01-10 | 1
2012-01-12 | 1
2009-01-01 | 1
2020-01-01 | 1
2011-01-03 | 3.14159
2011-01-03 | 0.000001
2011-01-03 | 0001
2011-01-03 | 001.500
2011-01-03 | 999.999
2011-01-03 | 2147483647
2011-01-03 | 2147483648
2011-01-03 | 1e2
2011-01-03 | 1e3
2011-01-03 | 1e4
2011-01-03 | nan
2011-01-03 | inf
2011-01-03 | -inf
